Name,ID,Meaning
Fiber Arts,79dc53e2-32d1-4e6b-8276-22102c150c1b,"For streams with an emphasis on the production of objects crafted from natural or synthetic fiber and other components, such as fabric or yarn"
Fiji,7985534f-3779-454e-b8b4-b2e97b265e6c,For streams and content featuring the Fijian community
Filipino,411e3710-decb-46fa-8f15-b4089a4441a5,For streams and content featuring the Filipino community
Filming,812a0088-22a9-4944-bb27-af0fa37b6085,For streams with an emphasis on the act or discussion of recording video
Finance,738d81a3-d79a-44a8-8351-b406d96b9cd9,For streams with an emphasis on the act or discussion of the investment or management of wealth
Finland,0ceaa52d-5166-49a2-b92f-2cdcb05f1883,For streams and content featuring the Finnish community
First Nations,aaa3d2af-c68c-4404-b9b7-7f09288f39f4,For streams and content featuring the First Nations community
First Playthrough,d0976a7e-26a7-4a48-9225-c522808540f2,For streams that feature the first-time playthrough of a game
Fishing,db2a18b3-3800-4949-9454-4ef1851b9895,For streams with an emphasis on the discussion or practice of fishing
Flow Arts,276a3395-619d-4944-94f1-7118587f4d5f,"For streams and content featuring a variety of movement-based disciplines including dance, juggling, fire-spinning, and object manipulation"
Folk,22c54bdc-2637-4612-9a9f-883b33b9f69d,"For streams that feature the discussion, production, or authorized playback of folk music"
Football / Soccer,4ada413e-c7c4-4fc0-b3d6-ce4b98e0d5e3,For streams that feature the discussion or activity of football aka soccer
Formula 1,eb33ecc9-abb3-4775-95ce-08500b7d2dfa,For streams that feature the discussion or activity of Formula 1 racing
Fortune Telling,5464696d-e140-4625-94fd-1d0001e4b1ee,For streams with an emphasis on the practice of predicting information about a person's life or future
France,be60ae5e-d52d-4dc4-b2a1-51c351a35f3d,For streams and content featuring the French community
French Guiana,7d829b62-17cb-4a0c-9bf7-361b17b2c74e,For streams and content featuring the French Guianese community
French Polynesia,68639917-40ec-4217-9db1-bbfbb55398cf,For streams and content featuring the French Polynesian community
Funk,4042b087-9c79-4358-8c99-b3c25e7deaa7,"For streams that feature the discussion, production, or authorized playback of funk music"
Furry,9e1c4d59-fb88-4b42-99ce-b2776358c547,For streams and content featuring the furry community
Futsal,7f767c6f-c367-4ca9-9cc9-b6d07cc6d24b,For streams that feature the discussion or activity of futsal
G-Star,505e4b58-ad49-4c04-86a7-f7391cbf0b0a,For streams related to the attendance or discussion of the annual G-Star event
Gabon,8760ce9b-0779-413b-8197-cf733e44f496,For streams and content featuring the Gabonese community
Gambia,431f7e61-40a0-4e57-bbda-d91cbd689bf7,For streams and content featuring the Gambian community
Game Awards,068c541b-dc07-4d7f-a689-5578f90905a9,For streams related to the attendance or discussion of the annual Game Awards event
Game Boy,e18f6ba2-5908-490f-b836-6e048eb010fd,For streams in which the streamer is playing on a Game Boy console
Game Development,f588bd74-e496-4d11-9169-3597f38a5d25,For streams with an emphasis on the creation of a video game
Game Gear,67497d06-bbcb-4f8e-ba0b-434cba186e02,For streams in which the streamer is playing on a Game Gear console
Game Jam,c48e0bf4-7a1b-4ffd-893c-12e46e664f7f,"For streams related to the attendance or discussion of an event in which developers plan, design, and create one or more games within a short period of time"
Game Show,6a0c6ea2-84eb-42b1-a8bb-59fd684bfe1a,For streams with an emphasis on individuals or teams competing to answer questions or solve puzzles for prizes
GameBlast,18f59f1f-993d-4f8a-b435-8129a84aab17,For streams related to the attendance or discussion of the annual GameBlast event
GameCube,8c228f9f-5218-4c7b-ae81-e4c31b88a1f3,For streams in which the streamer is playing on a GameCube console
gamescom,f61b8fe6-d22b-4f0b-ac99-cd852bc1b0b9,For streams related to the attendance or discussion of the annual gamescom event
Gaming News,f4b7fa12-9f16-439f-a6b9-87efe9ecf3ba,For streams with an emphasis on the discussion of gaming news or topics
Gardening,69b5f1ed-6224-49c2-8c87-708fe3850f0a,For streams with an emphasis on the discussion or growing of plants
Gay,4c15e802-ee32-4145-8375-28ca39cd6560,For streams and content featuring the gay community
GDC,db6f4909-bd28-420e-96b2-9934dd9c1c72,For streams related to the attendance or discussion of the annual GDC event
Gen Con,1a60fb07-26d0-450d-b777-f5414baabc28,For streams related to the attendance or discussion of the annual Gen Con event
Gender Variant,06959ec7-a49f-4eb7-9cd7-bf437f9c211b,For streams and content featuring the gender variant community
Genderfluid,509d720a-1b07-4c03-a1b8-20ab0f3ceb7f,For streams and content featuring the genderfluid community
Genderqueer,eeca56e6-1dd4-4122-b5b6-d511886f700c,For streams and content featuring the genderqueer community
Genesis,ba282786-d3bd-4a62-8859-8ab1b5d52de6,For streams in which the streamer is playing on a Genesis console
Genetic Disorder,fd8be835-9f2e-44fd-9283-f6060dd1eeff,For streams and content featuring the genetic disorder community
Georgia,17ff8561-e660-4a4c-8755-a0eaeda4f1b8,For streams and content featuring the Georgian community
Germany,377a27f0-e3a6-4a02-99a2-8eca81163ca7,For streams and content featuring the German community
Ghana,edb45280-0eaf-4a7e-abb7-d1ad46065db5,For streams and content featuring the Ghanaian community
Gibraltar,0a184509-f153-4bc1-8b66-37f11f6ea3e5,For streams and content featuring the Gibraltar community
Glasswork,10e94b3e-333b-413a-989e-35635210c127,For streams with an emphasis on the production of art composed of glass and other components
Glitch Hunting,d6de2e71-689a-4c47-ad61-6ec6182f9491,"For streams with an emphasis on the discovery of in-game glitches, bugs, or exploits"
Glitched,5788eae8-312d-43b5-a0b6-465eda087617,For streams with an emphasis on taking advantage of in-game glitches
Glitchless,d557fc7d-23da-48aa-87a4-35877fd57646,For streams with an emphasis on avoiding all in-game glitches
Godot Engine,89295d65-9346-48a3-99d7-0922cc8e9550,"For streams featuring the application of the Unreal Engine for game development, visual effects, etc."
Golf,c1997ef1-94bb-48e1-89db-f5e56e7aad2c,For streams that feature the discussion or activity of golf
Good Characters,ee1daaae-116a-44d6-9f40-09322caf3181,For streams that feature player characters that are morally good
Graphic Design,0930677c-dd75-424d-9190-b779f3d1c136,"For streams with an emphasis on the use of typography, visual arts, and page layout techniques to create visual compositions"
Greece,96b25119-b70a-4160-8678-58a4f8843cb6,For streams and content featuring the Greek community
Greenland,53965931-b737-4136-a572-9abda64a4f02,For streams and content featuring the Greenlandic community
Grenada,f0361f41-3424-492d-ba09-065feb9d6a90,For streams and content featuring the Grenadian community
Guadeloupe,64f4ff42-f8a4-46cf-9887-b6f03e4581ed,For streams and content featuring the Guadeloupean community
Guam,dacdf155-c6e6-4c42-9fc5-491fcba66168,For streams and content featuring the Guamanian community
Guatemala,d4803ecb-b26e-45fc-b395-abf94ff7611c,For streams and content featuring the Guatemalan community
Guernsey,3cd11254-ece6-48eb-bc8e-78ae35ddcafe,For streams and content featuring the Guernsian community
Guinea,4e19c698-5bf0-43b3-9c47-8911cc813989,For streams and content featuring the Guinean community
Guinea-Bissau,29d09a79-3264-475e-8ade-b59820237a2d,For streams and content featuring the Bissau-Guinean community
Guyana,b815f35b-d5b1-4efd-849d-51e15b75e0b0,For streams and content featuring the Guyanese community
Gymnastics,35d13143-2a0b-42e0-8881-e4c73878c5a3,For streams that feature the discussion or activity of gymnastics
Hair Styling,2dd8ed44-9043-4457-bb8d-e6c9a35e0b4d,For streams with an emphasis on the act of creatively styling one's hair for aesthetic purposes
Haiti,4ebe4f3f-8ba8-4048-b386-f2f33d226adc,For streams and content featuring the Haitian community
Handball,76189ed0-4b77-4290-8b17-4973809f0401,For streams that feature the discussion or activity of handball
Hapa,b4ab565d-0d61-48f3-83ca-cd2ff08bab39,For streams and content featuring the Hapa community
Hard Mode,ba2c968b-867a-49ce-aebc-3d978a204f4a,For streams that feature the playthrough of a game on the most difficult setting
Hard-of-Hearing,575f391b-b649-4946-8055-3ab8637ac2a4,For streams and content featuring the hard-of-hearing community
Haskell,40b4ab92-3559-4574-a827-e8ba6e653b87,For streams with an emphasis on the discussion or development of software in the Haskell programming language
He/Him,3c9ad976-d429-4316-9d51-63e670335189,He/Him is a masculine pronoun used to refer to a person in place of their name
Healthcare,118bc042-fd4d-4b18-bfc7-4ebc8e6386d2,For streams featuring members of the healthcare worker community
Herzegovina,81dc95dc-2e88-4a77-ac77-3bf3b8c3bc76,For streams and content featuring the Herzegovinian community
Hidden Identity,0e2fce97-3d1b-4cd0-bd04-b9f9e2907b91,For streams that feature games in which one or more players take secret roles to be revealed at a specific moment
High Score Attempts,2bc53bf2-3abb-42ec-949f-ca50f60d1022,For streams with an emphasis on attempts at achieving a new high score
Hiking,2a824c85-8c64-4a62-9532-84a50633c6fc,"For streams with an emphasis on walking for long distances, especially across country or in the woods"
Hindu,8b6575a1-22e7-4285-9c4e-fd51ba1c20fc,For streams and content featuring the Hindu community
Hip Hop,5f0c32b8-2bdf-47e2-ae63-9abc2fe61776,"For streams that feature the discussion, production, or authorized playback of hip hop music"
Hip Hop Dance,e2eab38e-8ce7-4b97-baaf-5f8e2296bfdd,"For streams that feature dance inspired by, or done in combination with, Hip Hop, Rap, and/or R&B music"
Hispanic,40226bd9-e2f2-4f86-bde5-bb856d52a4f1,For streams and content featuring the Hispanic community
History,7e2022f8-924e-4a2f-bd67-92e5c051dc95,For streams with an emphasis on the study or discussion of past events
Hockey,6e1cb318-6d8c-48af-9a79-b0840b861d55,For streams that feature the discussion or activity of hockey
Honduras,6e1cb318-6d8c-48af-9a79-b0840b861d55,For streams and content featuring the Honduran community
Hong Kong,3b6e7ffd-f07e-4578-9bd2-61bc939a83ba,For streams and content featuring the Hong Konger community
Horse Racing,e015369e-faab-4e36-a47f-e67ca4370715,For streams that feature the discussion or activity of horse racing
House,55afc9b3-67c9-46a0-aaad-d2fc65202f1b,"For streams that feature the discussion, production, or authorized playback of house music"
Hungary,89e56716-e596-4ae0-9410-962ca7aa8dc5,For streams and content featuring the Hungarian community
Hyped,2451599e-bbde-4184-a188-ff360af77b26,For streams and content featuring a hyped mood or vibe
Iceland,72ea5ac0-bf06-4501-847c-39d55d992459,For streams and content featuring the Icelandic community
Illustration,dfaa4f24-e99f-430d-aa29-8fb2b2717ece,For streams with an emphasis on the production of illustrated works of art
Improv,d6bf03b8-42f4-4981-b070-841c7457a9aa,For streams with an emphasis on improvising comedy as it is being performed
India,afff1ab9-d03c-4820-834b-805e679ef434,For streams and content featuring the Indian community
Indie Music,e46ae70e-40a4-4b00-a1f3-a2f79721d1f6,"For streams that feature the discussion, production, or authorized playback of indie music"
Indigenous,2b60faa8-1589-4a39-882f-6e859ef9cd50,For streams and content featuring the Indigenous community
Indonesia,354e439a-d552-417e-8922-9b5dee7550f8,For streams and content featuring the Indonesian community
Inking,50a54ea7-c9f5-4b59-8056-32f10b0d6983,For streams with an emphasis on adding depth and/or shading to drawn works of art
Instrumental,9d0e6082-403a-4693-b3a9-cc7de4c84866,"For streams that feature the discussion, production, or authorized playback of instrumental music"
Interactive,7e329e2d-60a1-4a87-9e59-41272c57ab42,"For streams and content where there is interaction between the streamer, viewers, and other on screen elements"
Intersex,88b55c77-d2bd-42c0-a3ea-d44bfd967938,For streams and content featuring the intersex community
Interviews,c833db83-32d0-4026-b3df-637ccf7899fa,For streams that feature the interviewing of guests
Inuit,d7704953-51b5-4e1c-a4a6-5802c7c9b57b,For streams and content featuring the Inuit community
Invisible Disability,8c61b40a-6d96-46f7-a16e-16b5b9166150,For streams and content featuring the invisible disability community
Iran,4c71840b-49cc-4f26-bcbc-13b3550a6b2a,For streams and content featuring the Iranian community
Iraq,76e2d879-eb99-455d-b956-559871472764,For streams and content featuring the Iraqi community
Ireland,2038d1dc-997e-4af1-95be-160a5c0bbdb0,For streams and content featuring the Irish community
Isle of Man,62d5b732-1b47-4233-a7c8-dd2c50a460b7,For streams and content featuring the Manx community
Israel,1697743b-e250-49e5-b614-aec4003eb571,For streams and content featuring the Israeli community
Italy,8acfc70e-00ce-4900-9898-7e92a761b2d1,For streams and content featuring the Italian community
Ivory Coast,acc397a0-b2dd-4ee5-81e7-fcf7659adb4a,For streams and content featuring the Ivorian community
Jamaica,92866dbd-a4a0-4fa7-bcf7-999101b763c9,For streams and content featuring the Jamaican community
Japan,dc179e62-215f-4785-bbc5-385ef8f1285b,For streams and content featuring the Japanese community
Java,db2217e3-bed5-419a-9143-550aa15451c8,For streams with an emphasis on the discussion or development of software in the Java programming language
JavaScript,b741fd1d-e96d-49b8-9f2d-03a631c33e04,For streams with an emphasis on the discussion or development of software in the JavaScript programming language
Jazz,2892b8a9-5234-4de1-a575-9d7b00401f64,"For streams that feature the discussion, production, or authorized playback of jazz music"
Jersey,bf290a13-700d-4e7c-b871-9473c7ef5867,For streams and content featuring the Jersian community
Jewelry Making,54107c64-4d7b-4235-bd1f-4da1ef3b5d64,For streams with an emphasis on the making of jewelry
Jewish,c3d08be0-01cd-45e2-b86a-1e09532084c1,For streams and content featuring the Jewish community
Jordan,ec0ee877-6145-45fd-a012-23653c611c49,For streams and content featuring the Jordanian community
Journaling,38087bd0-3434-4055-a2ca-3d47ab36bb28,For streams with an emphasis on journaling
Jujutsu Kaisen Marathon,2682cdde-773f-4583-a85a-1767ce6823b1,For content and streams relating to the Jujutsu Kaisen Marathon
K-Pop,b6b64b15-447c-4178-9609-d3d511123521,"For streams that feature the discussion, production, or authorized playback of K-Pop music"
Kazakhstan,8c0ddcdd-49c0-4725-96d1-02caf6d1401c,For streams and content featuring the Kazakhstani community
Kenya,9001e158-b944-4a90-a3d4-191776fc9e67,For streams and content featuring the Kenyan community
Keyboard,152efe72-4911-4462-8c72-bb8a2b266ac2,"For streams with an emphasis on the use, design, or construction of keyboards"
KeyCaps,6e5ed4f2-ea10-4245-82c5-55e4c128eccf,For streams with an emphasis on the production of decorative caps for keys on a keyboard
Kiribati,2d73d25e-d9c3-4880-98cf-4f1dd4c91ad9,For streams and content featuring the Kiribati community
Knitting,6ec0d7d3-594f-49a1-a86f-34e9b920621d,For streams with an emphasis on the production of objects crafted using a yarn and needles
Korea,0cf86924-7940-4e8c-8984-5fbaaca4cd2d,For streams and content featuring the Korean community
Kosovo,29c8115f-966e-4fc6-99df-cbfb93f19806,For streams and content featuring the Kosovar community
KR Server,a1732569-de54-4b75-8a17-07744179f6d9,For streams that feature gaming on servers in the Korean region of the world
Kuwait,d3c1a49b-86ac-43d2-b918-75178668bff4,For streams and content featuring the Kuwaiti community
Kyrgyzstan,11713db9-1cfb-4804-866c-bab522d49a22,For streams and content featuring the Kyrgyzstani community
Lacrosse,d1fc20b0-3075-4433-bd23-c548620e5b4a,For streams that feature the discussion or activity of lacrosse
Laos,068e12a6-87fa-4239-9783-741a05c9c907,For streams and content featuring the Laotian community
Latin Music,e6be5e22-30e0-4b34-89f1-092564cc8462,"For streams that feature the discussion, production, or authorized playback of Latin music"
Latina,4b8344f2-9b47-4924-9b5b-9cee534d33a9,For streams and content featuring the Latina community
Latino,38fe29d8-b8b9-446f-b2cb-47ef84098510,For streams and content featuring the Latino community
Latinx,fa18b56b-793e-434f-883b-16e7f46933f7,For streams and content featuring the Latinx community
Latvia,82708929-1522-4d74-959f-d048fd522719,For streams and content featuring the Latvian community
League,e85e4ccb-41fa-45b4-9c3a-f37807af3a5a,For streams that feature a collection of teams or individuals that regularly compete against one another
Learning Disability,bbbce9d7-357d-4aec-bb08-a25718d36341,For streams and content featuring the learning disability community
Leatherwork,1e95d7b4-8dac-4b5f-81d5-f963fdc5d989,For streams with an emphasis on the practice of crafting leather into physical objects or works of art
Lebanon,c493d7e5-b94f-41bc-b0c2-179c75a2f285,For streams and content featuring the Lebanese community
Lesbian,e3982736-aa55-4b65-b5bd-829eb81f1b02,For streams and content featuring the lesbian community
Lesotho,70b1f1cc-3559-4df0-8b60-4e8f754c2164,For streams and content featuring the Mosotho community
Let's Play,8ba227ca-073c-46a7-b3cc-193e52c5ab4d,For streams with an emphasis on the production of video documenting the playthrough of a game
Lettering,c5be8a99-b55a-4388-a0ce-bf3468984100,For streams with an emphasis on the production of hand-drawn letters
Level Design,85a78d1f-77e7-468e-a3e5-76ed7c99864b,For streams with an emphasis on the discussion or design of a game level or map
Leveling,6433db3e-37a7-4590-915a-7c0949a4ac69,For streams that feature leveling characters within a game
LGBTQIA+,8bbdb07d-df18-4f82-a928-04a9003e9a7e,For streams and content featuring the LGBTQIA+ community
Liberia,e74f7be5-9c71-4228-ab08-e983043e2ad5,For streams and content featuring the Liberian community
Libya,b18555dc-fde5-49c6-b999-db7cc6451eff,For streams and content featuring the Libyan community
Liechtenstein,7cfb2c73-4eb4-4988-bb72-73de88c81d9e,For streams and content featuring the Liechtensteiner community
Linux,15f4833a-1691-4cc1-a4a5-020d130ac94d,For streams with an emphasis on the discussion or use of the Linux operating system
Lithuania,92701ca1-766f-4e99-b448-957f9238ab7f,For streams and content featuring the Lithuanian community
Live Vlogging,7a3d677a-1e09-4391-b520-1fccc0e7d6ca,For streams with an emphasis on filming day to day actions and interacting with a live audience
Low%,a716383e-a9ff-4531-be5f-e25cdd7585d8,For streams with an emphasis on making the least amount of progress or item completion as possible while still completing the game
Ludum Dare,c8d6d6ee-3b02-4ae7-81e9-4c0f434941cc,For streams related to the attendance or discussion of the annual Ludum Dare event
Luna,7ace3c5e-b4a7-4c48-be5a-374789218311,Tag for streaming from the Amazon Luna service
Luxembourg,7b7c72c1-cd7a-4bdb-b5e6-204d96818569,For streams and content featuring the Luxembourger community
Macau,d98dbb9c-f3a4-4360-b1a3-2a82260641bb,For streams and content featuring the Macanese community
Madagascar,9cd9ff9f-c567-4d66-b71e-2a4b9f818740,For streams and content featuring the Malagasy community
Magic Tricks,1b70fcca-0579-446a-90d1-075c9ce62309,For streams with an emphasis on the practice of performing acts of illusion or apparent magic
Makeup,52233ce2-9b31-4f67-8b39-12aea5df66bf,For streams with an emphasis on the discussion or application of makeup
Malawi,a81dc45a-8506-47a5-b394-d1f5708919d5,For streams and content featuring the Malawian community
Malaysia,a172bc86-3b7d-443d-935e-46625f5874bf,For streams and content featuring the Malaysian community
Maldives,35507b32-f64c-440f-a9dd-08cf70a01bff,For streams and content featuring the Maldivian community
Mali,0fda9434-8d87-4a39-a76e-17d73a1ab649,For streams and content featuring the Malian community
Malta,9f07793b-c21c-4371-b298-60000235e8c9,For streams and content featuring the Maltese community
Man,34cd9d78-4b9f-4c3e-a747-bd6f2e15391b,For streams and content featuring men
Maori,06493fb2-1e6e-4148-9c63-d47e651c7688,For streams and content featuring the Maori community
Marathon,1706e401-a023-49fc-9b10-7bf73f59c940,For streams with an emphasis on any long and continuous session
Marshall Islands,225ad381-252c-43bd-93a8-979dae168ff9,For streams and content featuring the Marshallese community
Martinique,9ba7cd0f-459c-4d6f-826b-b32e704676a7,For streams and content featuring the Martinican community
Masculine,09af5017-732d-41d9-b3c6-3cd706c3bc3d,For streams and content featuring the masculine community
Match Commentary,a005b174-b20e-46b1-8679-4589fef81c8e,For streams that provide a voiceover commentary describing a competitive match
Mauritania,43f6355f-6d90-4d6c-aa19-dbd5fad94c17,For streams and content featuring the Mauritanian community
Mauritius,5c087762-73df-4bcb-898f-5a350f1501d5,For streams and content featuring the Mauritian community
Mayotte,ef9cc8aa-cd04-4d43-b612-e661be3012ed,For streams and content featuring the Mahoran community
Meal Prep,3ce58361-f147-441d-a7c9-e98e3e916a39,For streams with an emphasis on the preparation of food for consumption at a later date
Meditation,59b9c259-62c3-4a1a-89d4-4a6f1070deb9,For streams with an emphasis on the discussion or practice of meditation
Meme Runs,ab45fcb7-a22d-4a07-b0ac-fb3940566fa7,"For streams with an emphasis on joke or meme objectives, or otherwise arbitrary conditions"
Mental Health,589c4c39-a3cc-41fa-b70c-bf0b735fa21f,For streams with an emphasis on the study or discussion of mental health topics
Metal Music,938fcad2-4d77-4a06-9e49-b75b0879b645,"For streams that feature the discussion, production, or authorized playback of heavy metal music"
Metalwork,cee0e0bb-60b1-46a8-be53-ba46c05727b3,For streams with an emphasis on the production of objects or works of art crafted from metal
Metis,49c8134a-7979-43e7-b3db-87db9e37c8f7,For streams and content featuring the Metis community
Mexico,0bd3206d-008c-4f86-8261-896f1aedfd4d,For streams and content featuring the Mexican community
Micronesia,7099bb66-a962-4bee-b2f7-c6a89fb2e265,For streams and content featuring the Micronesian community
Middle Eastern,c3ee1454-7621-4319-8f83-bd993753b280,For streams and content featuring the Middle Eastern community
Mindfulness,9801169b-afa4-4785-890e-53911955e4d7,For streams with an emphasis on the discussion or practice of being fully present and aware in the moment
Miniature Figures,54854b39-5f23-4ff2-b6a6-de0d2ff65107,"For streams with an emphasis on creating, assembling, or painting miniatures or figurines used in tabletop gaming or as collector's items"
Mixed Race,1a4077b4-3fcd-41fd-a832-0c62631390c9,For streams and content featuring the Mixed Race community
Mixed Reality,ffc2deb9-cdac-4d5a-8554-381f165805ca,"For streams with an emphasis on the blending together of real and virtual worlds for the purpose of gameplay, education, etc."
Mixology,b5cc71f3-4c4d-46ed-8041-2d5ecb525051,For streams with an emphasis on the assembly or production of cocktails or mixed drinks
MMA,1a88aebe-e136-45f7-946c-f118f7e2dc51,For streams that feature the discussion or activity of Mixed Martial Arts
Mobile Development,6e23d976-33ec-47e8-b22b-3727acd41862,For streams with an emphasis on the discussion or development of a mobile application
Modded,9458de4e-6d35-422a-84a9-f243a49c212e,"For streams featuring a game that has been modified to change visuals, add additional items or maps, etc."
Mode: Adventure,v36b47e6e-6cdf-46fa-a85e-bd18a64af7ad,For streams that feature the Adventure game mode
Mode: Battle Royale,fd8f5e68-42d3-4544-a273-5fc92dabc568,For streams that feature the Battle Royale game mode
Mode: Blackout,77e70c59-d6f9-44e7-a68e-608ebc173dbb,For streams that feature the Blackout game mode in Call of Duty: Black Ops 4
Mode: Campaign,7ecdb5ae-e036-402e-8663-edc77167d6df,For streams that feature the Campaign game mode
Mode: Creative,e590393c-084e-42d4-ae17-e15c9158b0e8,For streams that feature the Creative game mode
Mode: Save the World,04c37d08-bdcb-42ed-a0c8-13191d2bce82,For streams that feature the Save the World game mode in Fortnite
Mode: Spectator,a4c5e6a9-5164-4775-959e-06167dbfa2d0,For streams that feature the Spectator game mode
Mode: Survival,292d76d1-b0a2-4175-a313-fdb2c970cd69,For streams that feature the Survival game mode
Mode: Zombies,60f44eae-0460-4cd4-b7cf-90567a031382,For streams that feature the Zombies game mode
Moldova,50fef3f7-d386-4401-bd8d-dcff8021b1d5,For streams and content featuring the Moldovan community
Monaco,babdb838-af35-438b-9e24-2746619c24a0,For streams and content featuring the Monacan community
Mongolia,afc3a4fb-de93-4d81-80f1-5d6de4d41692,For streams and content featuring the Mongolian community
Montenegro,vcdaa8cdd-d5d6-4ff1-9d7f-fe9e0c6346c2,For streams and content featuring the Montenegrin community
Montserrat,vd034a2e6-4ebf-4b8c-844a-9bbcca56d9d3,For streams and content featuring the Montserratian community
Morocco,be1567f8-83d3-408d-9d68-4063cb5cf5e4,For streams and content featuring the Moroccan community
MotoGP,dd96fdae-1cd4-4599-a7c1-f6a3c90a1c66,For streams that feature the discussion or activity of MotoGP
Motorsports,6cb33655-173e-464e-baf8-780db60500d5,For streams that feature the discussion or activity of motorsports
Movement Training,73645e21-02ae-4f39-bfb1-8dac623927ef,For streams with an emphasis on physical training with a focus on aerobics
Mozambique,55564cb1-2cc9-4566-8c8e-acd9199e1b87,For streams and content featuring the Mozambican community
Multi-Table Tournament,692af1d4-da0f-4b9b-889b-2579adc53765,For streams that feature a tournament with multiple tables of players who are eliminated over time until only one player remains
Multiplayer,ff56eeeb-99ed-4a60-93fc-0b3f05d8661e,For streams that focus on the multiplayer mode of a game
Multiple Sclerosis,fe897a55-ab66-47b6-ace6-fbef298785e7,For streams and content featuring the Multiple Sclerosis community
Multiracial,75057f79-cad6-4934-b129-67b1ea64e835,For streams and content featuring the Multiracial community
Music Events,c5247b10-deec-4d7a-84a5-db6a75cb5908,For streams that feature multiple music performances of any genre or format
Music Production,ddb625af-5920-49cc-9f13-3716f87941dc,For streams with an emphasis on the production of music
Music Talk,85d2fb8f-7257-4e08-8065-6161fa3029fa,For streams with an emphasis on discussing music or music culture
Musician,325f7a22-26f4-4ad7-be48-f464de0b89ce,For streams with an emphasis on the use of musical instruments to perform music
Muslim,b8530a6f-b080-4110-8f71-fcccf2994b5a,For streams and content featuring the Muslim community
Myanmar,cb51f8d7-c32a-4bad-8824-766baa82df65,For streams and content featuring the Burmese community
N-Gage,9f76f934-be53-486d-aa86-428e906a5e45,For streams in which the streamer is playing on an N-Gage console
N64,645c9e30-2820-467b-9a4d-4d2ba0ecbb27,For streams in which the streamer is playing on an N64 console
NA Server,353ab6ac-a0ee-404e-9bfa-217446b97718,For streams that feature gaming on servers in the North American region of the world
Nail Art,e56c8206-64ca-4e25-ae38-f3732f49599d,For streams with an emphasis on the discussion or production of nail art
Namibia,a09b100b-854d-4013-9503-fcc8f73a0592,For streams and content featuring the Namibian community
Native American,921668b5-b2a1-4361-bf5a-a5409cf12003,For streams and content featuring the Native American community
Nauru,d7f7d678-aef0-4d68-bb29-061f2dbc5054,For streams and content featuring the Nauruan community
Nepal,e69681b6-524f-4380-8306-8eda03b0bd51,For streams and content featuring the Nepali community
NES,0a222f96-4623-49ad-a998-122ca04e8405,For streams in which the streamer is playing on an NES console
Netherlands,6b97872d-3156-45ce-bd1a-807b33147cbd,For streams and content featuring the Dutch community
Neurodivergent,v15e4971b-c6f5-43f5-8d08-605247607067,For streams and content featuring the neurodivergent community
Neurological Condition,8aa56459-ed08-4c50-b855-f7a3496262d9,For streams and content featuring the neurological condition community
Neutral Characters,d654ad53-a88a-4194-b3eb-ebb8654d17cf,For streams that feature player characters that are morally neutral
New Caledonia,379d63bc-3374-4281-8dc6-a61a16ae1797,For streams and content featuring the New Caledonian community
New Zealand,40323303-665a-4182-9554-f48006ce93d9,For streams and content featuring the New Zealander community
News,77017b7b-6b98-4f0d-bd39-3ba96b66ec7a,For streams with an emphasis on the study or discussion of current events
NG+,c67e3f4d-200f-4f75-a836-0420616054a7,For streams that feature gameplay with New Game Plus enabled
Nicaragua,42667cfb-4f0c-49de-9d34-598f4b1c102c,For streams and content featuring the Nicaraguan community
Niger,0eadfeec-b3ea-4748-96ac-2fb9b073676f,For streams and content featuring the Nigerien community
Nigeria,4f09722e-8220-45aa-9394-42c5461586ef,For streams and content featuring the Nigerian community
Niue,71a5ce14-6368-4408-a4eb-8668e996c37a,For streams and content featuring the Niuean community
No Backseating,69318d09-f132-4853-b4b6-09a0580f7092,For streams in which chat participants are not allowed to tell the streamer how to play their game
No Damage,a5067bb9-0567-483b-88a6-7aa79985f272,For streams with an emphasis on playing a game without ever taking damage
No Limit,b638f288-a35b-4b46-921e-54f59612a844,For streams that feature a variation of gameplay in which players can raise the bet by any amount up to their remaining stake
No Major Glitches,d33671c6-d05b-44a6-a548-5d5930365882,For streams with an emphasis on avoiding any major game glitches
No Out of Bounds,09bc088e-ba15-41dc-beab-17dbcb04c800,For streams with an emphasis on avoiding travel outside of the bounds of the game world
No Spoilers,eaba0ad7-c4e1-4878-b37f-01308dbb65c8,"For streams that explicitly do not allow the discussion, disclosure, or reveal of spoilers relevant to the broadcast"
No-Hit,ef9137ad-2dd5-4ded-9f05-f30e0ed48fe8,For streams with an emphasis on completing a game without ever being hit
Non-binary,8556813d-991f-4707-9728-af816831271e,For streams and content featuring the non-binary community
Nonverbal,c61c3e4f-0603-4ad6-9ada-5e75a3192bb3,For streams and content featuring the nonverbal community
Norfolk Island,8447320e-5b89-47dc-9375-6dce7c10c035,For streams and content featuring the Norfolk Islander community
North African,b0ce09a2-bb9e-4bd7-8117-708bcdeb6f28,For streams and content featuring the North African community
North Macedonia,57c2d3ce-24f1-40ba-9283-43fdd5dd54a4,For streams and content featuring the Macedonian community
Northern Ireland,26901564-e855-4ba6-bc66-9640c7a1ab28,For streams and content featuring the Northern Irish community
Northern Mariana Islands,a6b6fd9d-a59c-4faf-aea2-97aceb01f988,For streams and content featuring the Northern Mariana Islander community
Norway,d5501bf8-6e6d-4242-9642-cdedcb684859,For streams and content featuring the Norwegian community
